"design","treatment","outcome","horizon","stat_obs","p_perm","n_perm"
"packaged-results/dass-R/poverty_outcomes/design/design_snap_persons_poverty_child_q_h2.csv","snap_persons","poverty_child_q",2,0.00916361438489263,0.950166112956811,300
"packaged-results/dass-R/poverty_outcomes/design/design_snap_persons_poverty_child_q_h4.csv","snap_persons","poverty_child_q",4,-0.0228877780322787,0.790697674418605,300
"packaged-results/dass-R/poverty_outcomes/design/design_snap_persons_poverty_child_q_h8.csv","snap_persons","poverty_child_q",8,-0.109720394634886,0.225913621262458,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_gini_households_q_h2.csv","social_security","gini_households_q",2,0.862635024212358,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_gini_households_q_h4.csv","social_security","gini_households_q",4,0.875918776144245,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_gini_households_q_h8.csv","social_security","gini_households_q",8,0.906300835325546,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_median_real_income_fred_q_h2.csv","social_security","median_real_income_fred_q",2,0.879640820403095,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_median_real_income_fred_q_h4.csv","social_security","median_real_income_fred_q",4,0.877927530829691,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_median_real_income_fred_q_h8.csv","social_security","median_real_income_fred_q",8,0.871443011355532,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_poverty_all_q_h2.csv","social_security","poverty_all_q",2,-0.200146238772458,0.0199335548172757,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_poverty_all_q_h4.csv","social_security","poverty_all_q",4,-0.18687175677206,0.0332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_poverty_all_q_h8.csv","social_security","poverty_all_q",8,-0.164283039089222,0.0498338870431894,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_poverty_child_q_h2.csv","social_security","poverty_child_q",2,-0.485966373366785,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_poverty_child_q_h4.csv","social_security","poverty_child_q",4,-0.471747370356873,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_social_security_poverty_child_q_h8.csv","social_security","poverty_child_q",8,-0.444528399217967,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_gini_households_q_h2.csv","transfer_composite","gini_households_q",2,0.855631728804381,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_gini_households_q_h4.csv","transfer_composite","gini_households_q",4,0.859523919792097,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_gini_households_q_h8.csv","transfer_composite","gini_households_q",8,0.85809705941196,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_median_real_income_fred_q_h2.csv","transfer_composite","median_real_income_fred_q",2,0.855897335503684,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_median_real_income_fred_q_h4.csv","transfer_composite","median_real_income_fred_q",4,0.843170962011974,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_median_real_income_fred_q_h8.csv","transfer_composite","median_real_income_fred_q",8,0.825000955385361,0.00332225913621262,300
"packaged-results/dass-R/poverty_outcomes/design/design_transfer_composite_poverty_all_q_h2.csv","transfer_composite","poverty_all_q",2,-0.184520113533245,0.0232558139534884,300
