"group","run_id","estimator","p","rank","rw_stepdown_p"
"other","20260403T160942_lp","lp",0.73643398237842,289,1
"other","20260403T160947_dml","dml",0.759532284661302,290,1
"other","20260403T160921_tmle","tmle",0.773505062162803,291,1
"other","20260403T160935_tmle","tmle",0.773505062162803,292,1
"other","20260403T160926_tmle","tmle",0.821298215410048,293,1
"other","20260403T160939_tmle","tmle",0.821298215410048,294,1
"other","20260403T160945_tmle","tmle",0.830099612313745,295,1
"other","20260403T160947_lp","lp",0.845472736360633,296,1
"other","20260403T160942_lp","lp",0.847321101893284,297,1
"other","20260403T160943_dml","dml",0.851645317002549,298,1
"other","20260403T160925_dml","dml",0.860041343536974,299,1
"other","20260403T160946_dml","dml",0.873450068011089,300,1
"other","20260403T160914_lp","lp",0.877807467631973,301,1
"other","20260403T160915_tmle","tmle",0.882930586648319,302,1
"other","20260403T160921_tmle","tmle",0.883961484711046,303,1
"other","20260403T160924_dml","dml",0.893094897274398,304,1
"other","20260403T160912_dml","dml",0.901731529781489,305,1
"other","20260403T160948_lp","lp",0.918832743634543,306,1
"other","20260403T160943_lp","lp",0.920744474090688,307,1
"other","20260403T160922_lp","lp",0.935280740415047,308,1
"other","20260403T160918_tmle","tmle",0.943937680810338,309,1
"other","20260403T160957_lp","lp",0.94602663961505,310,1
"other","20260403T160958_dml","dml",0.959969856032013,311,1
"other","20260403T160927_lp","lp",0.966937564815962,312,1
"other","20260403T160924_lp","lp",0.99088432834035,313,1
"other","20260403T160920_dml","dml",0.992100457461015,314,1
"other","20260403T160920_lp","lp",0.99455650879319,315,1
