"estimator","treatment","outcome","h_min","h_max","estimate_start","estimate_end","endpoint_delta","stable","max_delta_threshold"
"lp","social_security","median_real_income_fred_q",2,8,-0.344609443788084,-0.205086654876781,0.139522788911303,TRUE,1
"dml","social_security","median_real_income_fred_q",2,8,-0.202303917751251,-0.243470014139524,-0.041166096388273,TRUE,1
"tmle","social_security","median_real_income_fred_q",2,8,-60311.3559120251,740.84349978731,61052.1994118124,FALSE,1
"cf","social_security","median_real_income_fred_q",2,8,0.707883483908473,6.40600747427314,5.69812399036467,FALSE,1
"lp","snap_persons","poverty_all_q",2,8,1.589243749131e-05,7.68101220461028e-06,-8.21142528669972e-06,TRUE,1
"dml","snap_persons","poverty_all_q",2,8,3.66277698370955e-05,3.81951557175098e-05,1.5673858804143e-06,TRUE,1
"tmle","snap_persons","poverty_all_q",2,8,26.624277566516,10.5355459565152,-16.0887316100008,FALSE,1
"cf","snap_persons","poverty_all_q",2,8,-1.83925295115423e-05,-3.78059504327196e-06,1.46119344682703e-05,TRUE,1
"lp","snap_persons","poverty_child_q",2,8,2.39845580191789e-05,1.05988990266074e-05,-1.33856589925715e-05,TRUE,1
"dml","snap_persons","poverty_child_q",2,8,4.89275001806816e-05,6.34208415060103e-05,1.44933413253287e-05,TRUE,1
"tmle","snap_persons","poverty_child_q",2,8,38.8263093807486,16.1063566903019,-22.7199526904467,FALSE,1
"cf","snap_persons","poverty_child_q",2,8,-2.46100321380005e-05,3.34391918884157e-06,2.79539513268421e-05,TRUE,1
"lp","credit_composite","poverty_all_q",2,8,-3.78748529359053e-09,-1.39090464179508e-09,2.39658065179545e-09,TRUE,1
"dml","credit_composite","poverty_all_q",2,8,-2.13698911456228e-09,-8.1847996734605e-09,-6.04781055889822e-09,TRUE,1
"tmle","credit_composite","poverty_all_q",2,8,2.79304004805768,1.92425659791184,-0.86878345014584,TRUE,1
"cf","credit_composite","poverty_all_q",2,8,-1.03598687601739e-08,-2.21619429984145e-09,8.14367446033245e-09,TRUE,1
"lp","credit_composite","poverty_child_q",2,8,-3.22621852356926e-09,-1.12560836540578e-09,2.10061015816348e-09,TRUE,1
"dml","credit_composite","poverty_child_q",2,8,-8.904292086939e-09,-2.18731985569528e-08,-1.29689064700138e-08,TRUE,1
"tmle","credit_composite","poverty_child_q",2,8,2.5159563540748,7.85552050358209,5.33956414950729,FALSE,1
"cf","credit_composite","poverty_child_q",2,8,-1.38619705882956e-08,1.96021381847962e-09,1.58221844067752e-08,TRUE,1
"lp","credit_composite","median_real_income_fred_q",2,8,2.35870245491933e-05,2.08872471789108e-05,-2.6997773702825e-06,TRUE,1
"dml","credit_composite","median_real_income_fred_q",2,8,-2.378233830978e-05,-1.06216427177494e-05,1.31606955920306e-05,TRUE,1
"tmle","credit_composite","median_real_income_fred_q",2,8,-62467.0104326052,21884.0253590385,84351.0357916437,FALSE,1
"cf","credit_composite","median_real_income_fred_q",2,8,1.63789599977669e-05,0.000114918773918211,9.85398139204441e-05,TRUE,1
"lp","credit_composite","wealth_share_gap_top1_bottom50",2,8,1.12693108372292e-08,1.01515035881373e-08,-1.1178072490919e-09,TRUE,1
"dml","credit_composite","wealth_share_gap_top1_bottom50",2,8,1.07288422302763e-08,1.62109309506398e-08,5.4820887203635e-09,TRUE,1
"tmle","credit_composite","wealth_share_gap_top1_bottom50",2,8,-40.9599027900315,-7.79401519169349,33.165887598338,FALSE,1
"cf","credit_composite","wealth_share_gap_top1_bottom50",2,8,1.61018460414982e-08,9.33475250308413e-08,7.72456789893431e-08,TRUE,1
"lp","revolving_credit","poverty_all_q",2,8,-3.80847326628021e-09,-1.41095058739662e-09,2.39752267888359e-09,TRUE,1
"dml","revolving_credit","poverty_all_q",2,8,1.09369987918477e-09,1.41561610311498e-08,1.3062461151965e-08,TRUE,1
"tmle","revolving_credit","poverty_all_q",2,8,43.773908826973,1.92425659791184,-41.8496522290612,FALSE,1
"cf","revolving_credit","poverty_all_q",2,8,-1.05273152550493e-08,-2.2288950338995e-09,8.2984202211498e-09,TRUE,1
"lp","revolving_credit","poverty_child_q",2,8,-3.24922823453895e-09,-1.15534916168836e-09,2.09387907285059e-09,TRUE,1
"dml","revolving_credit","poverty_child_q",2,8,-9.9131940026283e-09,-3.56047835451058e-09,6.35271564811772e-09,TRUE,1
"tmle","revolving_credit","poverty_child_q",2,8,78.812274066821,7.85552050358209,-70.9567535632389,FALSE,1
"cf","revolving_credit","poverty_child_q",2,8,-1.408602153342e-08,1.97144756011187e-09,1.60574690935319e-08,TRUE,1
"lp","cc_delinquency","poverty_all_q",2,8,-0.0685067777713777,0.650173710652631,0.718680488424009,TRUE,1
"dml","cc_delinquency","poverty_all_q",2,8,1.08071575698071,1.17437090282071,0.0936551458400001,TRUE,1
"tmle","cc_delinquency","poverty_all_q",2,8,6.46037762273806,-12.48856194154,-18.9489395642781,FALSE,1
"cf","cc_delinquency","poverty_all_q",2,8,1.00682663684533,0.0959644373307484,-0.910862199514582,TRUE,1
"lp","cc_delinquency","poverty_child_q",2,8,-0.171538868297804,1.10112619100343,1.27266505930123,FALSE,1
"dml","cc_delinquency","poverty_child_q",2,8,1.52203856332739,2.26469658263717,0.74265801930978,TRUE,1
"tmle","cc_delinquency","poverty_child_q",2,8,11.8748424119996,-22.0955528597527,-33.9703952717523,FALSE,1
"cf","cc_delinquency","poverty_child_q",2,8,1.34717934662599,-0.0848801100918172,-1.43205945671781,FALSE,1
"lp","household_networth","gini_households_q",2,8,8.51755766899767e-13,1.85187297030629e-13,-6.66568469869138e-13,TRUE,1
"dml","household_networth","gini_households_q",2,8,4.36027895048584e-13,-4.81417569259336e-13,-9.1744546430792e-13,TRUE,1
"tmle","household_networth","gini_households_q",2,8,0.021361259060771,0.155731873439664,0.134370614378893,TRUE,1
"cf","household_networth","gini_households_q",2,8,1.09349345248826e-12,3.33881456858663e-13,-7.59611995629597e-13,TRUE,1
"lp","household_networth","wealth_share_gap_top10_bottom50",2,8,-2.05704143800878e-10,-1.48071343318122e-10,5.7632800482756e-11,TRUE,1
"dml","household_networth","wealth_share_gap_top10_bottom50",2,8,-2.56111876863541e-10,-3.31669875381118e-10,-7.5557998517577e-11,TRUE,1
"tmle","household_networth","wealth_share_gap_top10_bottom50",2,8,1.82284685329736,21.9120567845104,20.089209931213,FALSE,1
"cf","household_networth","wealth_share_gap_top10_bottom50",2,8,-5.98407988049887e-11,2.18749692038126e-11,8.17157680088013e-11,TRUE,1
"lp","household_networth","wealth_share_gap_top1_bottom50",2,8,1.16808852193711e-10,1.82786805005735e-11,-9.85301716931375e-11,TRUE,1
"dml","household_networth","wealth_share_gap_top1_bottom50",2,8,-4.96975469905051e-11,-8.18258880111532e-11,-3.21283410206481e-11,TRUE,1
"tmle","household_networth","wealth_share_gap_top1_bottom50",2,8,7.76791445162571,24.5069005570687,16.738986105443,FALSE,1
"cf","household_networth","wealth_share_gap_top1_bottom50",2,8,-8.31330947649004e-11,1.55644508496927e-10,2.38777603261827e-10,TRUE,1
"lp","home_equity","wealth_share_gap_top10_bottom50",2,8,-9.55140866516307e-10,-1.73989984844187e-10,7.8115088167212e-10,TRUE,1
"dml","home_equity","wealth_share_gap_top10_bottom50",2,8,-7.2410030354783e-10,-8.84585722235287e-10,-1.60485418687457e-10,TRUE,1
"tmle","home_equity","wealth_share_gap_top10_bottom50",2,8,1.82284685329736,49.212310166976,47.3894633136786,FALSE,1
"cf","home_equity","wealth_share_gap_top10_bottom50",2,8,-1.93868783957941e-10,5.23533741461148e-10,7.17402525419089e-10,TRUE,1
"lp","home_equity","wealth_share_gap_top1_bottom50",2,8,-5.660841392392e-10,1.80907329017478e-11,5.84174872140948e-10,TRUE,1
"dml","home_equity","wealth_share_gap_top1_bottom50",2,8,-2.09711303760378e-10,9.2349476204321e-12,2.1894625138081e-10,TRUE,1
"tmle","home_equity","wealth_share_gap_top1_bottom50",2,8,7.76791445162571,39.853886498829,32.0859720472033,FALSE,1
"cf","home_equity","wealth_share_gap_top1_bottom50",2,8,-2.69329826983919e-10,3.72504075832702e-09,3.99437058531094e-09,TRUE,1
