"target","candidate","n_windows","candidate_block_size","selected_lag_median","reverse_selected_lag_median","forward_p_median","reverse_p_median","forward_fstat_median","reverse_fstat_median","forward_df1_median","forward_df2_median","forward_sig_share","reverse_sig_share","directionality_gap","coint_rank_share","vecm_regime_share"
"pce_essential_idx","credit_composite",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","equity_wealth_proxy",5,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","fed_funds",4,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","fhfa_hpi",5,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","gini_households_q",26,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","gini_income_fred_q",35,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","median_real_income_fred_q",16,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","poverty_all_q",11,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","poverty_child_q",10,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","revolving_credit",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","social_security",11,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","top1_wealth_share",11,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","transfer_composite",13,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","transfers_total",11,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","ui_benefits",16,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_essential_idx","wealth_share_gap_top1_bottom50",10,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","bottom50_wealth_share",1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","cc_delinquency",1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","equity_wealth_proxy",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","fed_funds",4,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","fhfa_hpi",1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","gini_households_q",25,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","gini_income_fred_q",33,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","median_real_income_fred_q",11,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","poverty_all_q",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","poverty_child_q",3,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","social_security",6,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","top1_wealth_share",11,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","transfer_composite",11,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","transfers_total",9,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","ui_benefits",10,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
"pce_fcsu_idx","wealth_share_gap_top1_bottom50",10,1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1
