"target","mode","rank","candidate","score","sig_share","coint_share","n_windows","selected_for_contract"
"median_hh_income_q","negative",11,"transfers_total",0,0,0,8,FALSE
"median_hh_income_q","negative",12,"top10_wealth_share",0,0,0,3,FALSE
"median_hh_income_q","negative",13,"fed_funds",0,0,0,3,FALSE
"median_hh_income_q","negative",14,"cc_delinquency",0,0,0,1,FALSE
"median_hh_income_q","positive",1,"median_real_income_fred_q",0,0,0,8,TRUE
"median_hh_income_q","positive",2,"nonrevolving_credit",0,0,0,11,TRUE
"median_hh_income_q","positive",3,"bottom50_wealth_share",0,0,0,1,TRUE
"median_hh_income_q","positive",4,"ui_benefits",0,0,0,2,TRUE
"median_hh_income_q","positive",5,"equity_wealth_proxy",0,0,0,2,TRUE
"median_hh_income_q","positive",6,"snap_persons",0,0,0,11,FALSE
"median_hh_income_q","positive",7,"total_credit",0,0,0,6,FALSE
"median_hh_income_q","positive",8,"wealth_share_gap_top10_bottom50",0,0,0,3,FALSE
"median_hh_income_q","positive",9,"fhfa_hpi",0,0,0,18,FALSE
"median_hh_income_q","positive",10,"transfer_composite",0,0,0,8,FALSE
"median_hh_income_q","positive",11,"transfers_total",0,0,0,8,FALSE
"median_hh_income_q","positive",12,"top10_wealth_share",0,0,0,3,FALSE
"median_hh_income_q","positive",13,"fed_funds",0,0,0,3,FALSE
"median_hh_income_q","positive",14,"cc_delinquency",0,0,0,1,FALSE
"median_real_income_fred_q","least",1,"fed_funds",NA,0,0,7,FALSE
"median_real_income_fred_q","least",2,"top1_wealth_share",NA,0,0,1,FALSE
"median_real_income_fred_q","least",3,"top10_wealth_share",NA,0,0,6,FALSE
"median_real_income_fred_q","least",4,"wealth_share_gap_top10_bottom50",NA,0,0,7,FALSE
"median_real_income_fred_q","least",5,"bottom50_wealth_share",NA,0,0,6,FALSE
"median_real_income_fred_q","least",6,"snap_persons",NA,0,0,1,FALSE
"median_real_income_fred_q","least",7,"equity_wealth_proxy",NA,0,0,2,FALSE
"median_real_income_fred_q","least",8,"fhfa_hpi",NA,0,0,15,FALSE
"median_real_income_fred_q","least",9,"nonrevolving_credit",NA,0,0,8,FALSE
"median_real_income_fred_q","least",10,"transfers_total",NA,0,0,3,FALSE
"median_real_income_fred_q","least",11,"ui_benefits",NA,0,0,2,FALSE
"median_real_income_fred_q","least",12,"cc_delinquency",NA,0,0,3,FALSE
"median_real_income_fred_q","least",13,"transfer_composite",NA,0,0,3,FALSE
"median_real_income_fred_q","negative",1,"fed_funds",0,0,0,7,FALSE
"median_real_income_fred_q","negative",2,"top1_wealth_share",0,0,0,1,FALSE
"median_real_income_fred_q","negative",3,"top10_wealth_share",0,0,0,6,FALSE
"median_real_income_fred_q","negative",4,"wealth_share_gap_top10_bottom50",0,0,0,7,FALSE
"median_real_income_fred_q","negative",5,"bottom50_wealth_share",0,0,0,6,FALSE
"median_real_income_fred_q","negative",6,"snap_persons",0,0,0,1,FALSE
"median_real_income_fred_q","negative",7,"equity_wealth_proxy",0,0,0,2,FALSE
"median_real_income_fred_q","negative",8,"fhfa_hpi",0,0,0,15,FALSE
"median_real_income_fred_q","negative",9,"nonrevolving_credit",0,0,0,8,FALSE
"median_real_income_fred_q","negative",10,"transfers_total",0,0,0,3,FALSE
"median_real_income_fred_q","negative",11,"ui_benefits",0,0,0,2,FALSE
"median_real_income_fred_q","negative",12,"cc_delinquency",0,0,0,3,FALSE
