"quarter_end","F1","F2"
"1999-09-30",-3.1867188376798,-1.72631530589035
"1999-12-31",-3.20613646438386,-2.01043226177633
"2000-03-31",-2.97257276994688,-1.94042366812617
"2000-06-30",-3.94295061359496,-2.45806811282774
"2000-09-30",-3.91749722756734,-2.61850951150576
"2000-12-31",-3.8125002970364,-2.63149918677137
"2001-03-31",-3.75653091062612,-2.54350036297192
"2001-06-30",-3.80032940155264,-2.05749952434881
"2001-09-30",-3.68465620233092,-1.61114794622273
"2001-12-31",-3.83779491523778,-1.06442935776863
"2002-03-31",-3.53146229365611,-0.693996024964707
"2002-06-30",-3.58872322080257,-0.596105405654705
"2002-09-30",-3.55603535378904,-0.432659505804452
"2002-12-31",-3.62948836941449,-0.390190927192685
"2003-03-31",-3.44180899513912,-0.227230632948498
"2003-06-30",-3.29695304975569,-0.0362227032511213
"2003-09-30",-2.96989665979093,0.243832347022564
"2003-12-31",-2.91616579323252,0.296298815031328
"2004-03-31",-2.79050942920766,0.302245237747648
"2004-06-30",-2.53695952691995,0.134301619970835
"2004-09-30",-2.51188068689225,0.0759759761053508
"2004-12-31",-2.3067522426807,-0.0618705012443143
"2005-03-31",-2.08891021667306,-0.139685618296455
"2005-06-30",-1.94197334185613,-0.0424148176999526
"2005-09-30",-1.52831051823664,-0.151543632240127
"2005-12-31",-1.35922393369745,-0.230345115123269
"2006-03-31",-1.21397130897568,-0.187044216430067
"2006-06-30",-0.836783896761676,-0.267915484035525
"2006-09-30",-0.791733348246953,-0.296893967607642
"2006-12-31",-0.546450550165307,-0.561824568443959
"2007-03-31",-0.44147296955753,-0.600504749677645
"2007-06-30",-0.146388445796584,-0.7960815867168
"2007-09-30",-0.0983399944971955,-0.617081321461061
"2007-12-31",-0.0215171436637094,-0.350033747976804
"2008-03-31",0.34171757881497,-0.36144898852114
"2008-06-30",0.412306649097405,0.264597301349786
"2008-09-30",0.55145646258812,0.53685659680969
"2008-12-31",0.369692508485359,1.34164864843493
"2009-03-31",0.265444353106618,1.91289231713867
"2009-06-30",-0.109458912564462,2.77452368915804
"2009-09-30",-0.194784427897618,3.2473343203848
"2009-12-31",0.0541968164115243,3.28267167259006
"2010-03-31",0.0221985132799271,3.61489345731788
"2010-06-30",0.107474959802157,3.85468801529151
"2010-09-30",0.0319321862333169,4.25354670164464
"2010-12-31",0.291635916435271,4.29245841787143
"2011-03-31",0.414636770463473,4.62982405667735
"2011-06-30",0.704764537679888,4.34821180818657
"2011-09-30",0.906985324495234,4.05137446356904
"2011-12-31",0.667286327949544,4.46164985169048
"2012-03-31",0.648662284468155,4.8073684418534
"2012-06-30",0.772257017860958,4.78860536473838
"2012-09-30",0.884916909688035,4.43205259386359
"2012-12-31",1.09273075949312,4.35628314104741
"2013-03-31",1.21913197643341,4.08028534450345
"2013-06-30",1.44443951459147,3.99280016597944
"2013-09-30",1.5361406432619,3.86715942801011
"2013-12-31",1.65242143135683,3.4907351564364
"2014-03-31",1.93401588075915,3.31285224409275
"2014-06-30",1.92686830172835,3.52071518192159
"2014-09-30",2.04524473629483,3.41245090969837
"2014-12-31",2.17356431567154,3.26673655323124
"2015-03-31",2.39598655295189,3.14048215204025
"2015-06-30",2.61527505423611,3.01414113251093
"2015-09-30",2.68310676919304,2.91499790546424
"2015-12-31",2.76369321389384,2.82446219545104
"2016-03-31",2.81506458638367,2.40619279583602
"2016-06-30",2.97025383357826,2.15503908859541
"2016-09-30",3.142953489814,2.12770551379669
"2016-12-31",3.14621352820335,2.1984088120243
"2017-03-31",3.31023549581432,2.02526981572278
"2017-06-30",3.50516935484861,1.85356376467105
"2017-09-30",3.67622111135442,1.65611001212227
"2017-12-31",3.89751589366632,1.34869507792907
"2018-03-31",4.10633445350643,1.11143870313789
"2018-06-30",4.04265091731909,0.95766640995064
"2018-09-30",4.09817752100807,0.796951298890435
"2018-12-31",4.36937204484445,0.66974837296595
"2019-03-31",4.3135762363897,0.551177092547198
"2019-06-30",4.67139607358791,0.461047025190997
"2019-09-30",4.98578739122065,-0.0475488868314983
"2019-12-31",5.11829994720614,-0.212739667468457
"2020-03-31",5.31215111505984,-0.444061449982772
"2020-06-30",4.83848230344397,0.405338386381518
"2020-09-30",6.66720398941366,3.09558536616296
"2020-12-31",5.89667182448498,1.24752001038056
"2021-03-31",5.91776747186608,0.799917252810655
"2021-06-30",7.29000605740079,-0.0218726200800451
"2021-09-30",6.84501715753099,-0.830092856664936
"2021-12-31",6.79477471033248,-1.75602763202434
"2022-03-31",6.85165790390421,-1.779634334199
"2022-06-30",7.09587090368312,-2.11082556330002
"2022-09-30",7.16528243438893,-2.78127982593893
"2022-12-31",7.21679816845037,-2.99679191330578
"2023-03-31",7.53784719874359,-3.26657203243944
"2023-06-30",7.89989343501279,-3.27000216873256
"2023-09-30",8.19108827699509,-3.54407096329478
"2023-12-31",8.36786748186069,-3.76027983896598
"2024-03-31",8.69770559737562,-4.01704677875936
"2024-06-30",9.09633752113536,-4.08961579295358
"2024-09-30",9.18910856675095,-4.14806032943773
"2024-12-31",9.53943477309698,-4.15287173186445
"2025-03-31",9.51963529139295,-4.17264735123238
"2025-06-30",9.72491127797387,-4.3828194154786
"2025-09-30",10.0421864308341,-4.50071578890108
"2025-12-31",10.184665026612,-4.34494305063604
